Taxon,TaxonGroup,Abundance,GridRef
Pararge aegeria,insect - butterfly,,SD65341143
Pieris napi,insect - butterfly,,SD66621006
Pararge aegeria,insect - butterfly,,SD65701139
Inachis io,insect - butterfly,,SD66021055
Pieris napi,insect - butterfly,,SD66251074
Coenonympha pamphilus,insect - butterfly,,SD66271229
Thymelicus sylvestris,insect - butterfly,,SD66331175
Pararge aegeria,insect - butterfly,,SD65501128
Anthocharis cardamines,insect - butterfly,1,SD65821072
Coenonympha pamphilus,insect - butterfly,,SD66111212
Thymelicus sylvestris,insect - butterfly,6,SD66031198
Coenonympha pamphilus,insect - butterfly,,SD66171223
Coenonympha pamphilus,insect - butterfly,,SD66081313
Pararge aegeria,insect - butterfly,,SD65061223
Aglais urticae,insect - butterfly,,SD65071222
Maniola jurtina,insect - butterfly,,SD65111216
Thymelicus sylvestris,insect - butterfly,,SD65121214
Maniola jurtina,insect - butterfly,,SD65191198
Maniola jurtina,insect - butterfly,2,SD65271204
Maniola jurtina,insect - butterfly,4,SD65281206
Maniola jurtina,insect - butterfly,,SD65551176
Pararge aegeria,insect - butterfly,,SD65721091
Pararge aegeria,insect - butterfly,,SD65711088
Pararge aegeria,insect - butterfly,,SD65691085
Maniola jurtina,insect - butterfly,,SD65691084
Aglais urticae,insect - butterfly,2,SD65581078
Maniola jurtina,insect - butterfly,,SD65491088
Maniola jurtina,insect - butterfly,,SD65401095
Maniola jurtina,insect - butterfly,,SD65271107
Thymelicus sylvestris,insect - butterfly,,SD65281107
Maniola jurtina,insect - butterfly,,SD65251108
Aglais urticae,insect - butterfly,,SD65251108
Aglais urticae,insect - butterfly,,SD65231108
Maniola jurtina,insect - butterfly,,SD65201109
Maniola jurtina,insect - butterfly,,SD65151112
Thymelicus sylvestris,insect - butterfly,,SD65131114
Maniola jurtina,insect - butterfly,,SD65111119
Pararge aegeria,insect - butterfly,,SD65091130
Pararge aegeria,insect - butterfly,,SD64961162
Thymelicus sylvestris,insect - butterfly,,SD65081193
Thymelicus sylvestris,insect - butterfly,,SD65051198
Maniola jurtina,insect - butterfly,,SD65011201
Pararge aegeria,insect - butterfly,,SD65071216
Maniola jurtina,insect - butterfly,,SD65111218
Maniola jurtina,insect - butterfly,4,SD65101215
Maniola jurtina,insect - butterfly,,SD65071212
Maniola jurtina,insect - butterfly,,SD65121201
Maniola jurtina,insect - butterfly,,SD65171198
Pararge aegeria,insect - butterfly,2,SD65541141
Inachis io,insect - butterfly,200+,SD66531101
Pararge aegeria,insect - butterfly,,SD65751093
Aglais urticae,insect - butterfly,,SD65111115
Vanessa atalanta,insect - butterfly,,SD64951264
Vanessa atalanta,insect - butterfly,2,SD64931262
Pararge aegeria,insect - butterfly,,SD65511138
Aglais urticae,insect - butterfly,,SD65911126
Maniola jurtina,insect - butterfly,,SD65691077
Maniola jurtina,insect - butterfly,,SD65521087
Maniola jurtina,insect - butterfly,,SD65451091
Aglais urticae,insect - butterfly,,SD65311104
Maniola jurtina,insect - butterfly,,SD65261108
Aglais urticae,insect - butterfly,2,SD65221109
Aglais urticae,insect - butterfly,2,SD65181111
Aglais urticae,insect - butterfly,,SD65151113
Aglais urticae,insect - butterfly,,SD65091117
Maniola jurtina,insect - butterfly,10,SD65071213
Maniola jurtina,insect - butterfly,4,SD65131207
Thymelicus sylvestris,insect - butterfly,,SD65131207
Maniola jurtina,insect - butterfly,,SD65161201
Maniola jurtina,insect - butterfly,,SD66231234
Maniola jurtina,insect - butterfly,,SD66801209
Aglais urticae,insect - butterfly,,SD66811208
Aglais urticae,insect - butterfly,,SD66231009
Aglais urticae,insect - butterfly,,SD66871029
Maniola jurtina,insect - butterfly,,SD66871029
Pyronia tithonus,insect - butterfly,1,SD66871029
Pyronia tithonus,insect - butterfly,1,SD66871029
Maniola jurtina,insect - butterfly,,SD66341060
Pyronia tithonus,insect - butterfly,1,SD66361064
Pyronia tithonus,insect - butterfly,,SD66411069
Thymelicus sylvestris,insect - butterfly,,SD66411069
Maniola jurtina,insect - butterfly,,SD66521089
Pyronia tithonus,insect - butterfly,2,SD66531095
Maniola jurtina,insect - butterfly,,SD65111207
Pyronia tithonus,insect - butterfly,,SD66071205
Pieris napi,insect - butterfly,,SD66241235
Pyronia tithonus,insect - butterfly,1,SD65231225
Pyronia tithonus,insect - butterfly,,SD65241224
Pyronia tithonus,insect - butterfly,,SD65301215
Pieris brassicae,insect - butterfly,,SD65301214
Pyronia tithonus,insect - butterfly,,SD65341210
Pyronia tithonus,insect - butterfly,2,SD65371197
